Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 14:48:10,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:48:26,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:48:32,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:48:37,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:48:40,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:48:42,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:48:45,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:48:47,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:48:49,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:48:52,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:48:54,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:48:56,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:48:59,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:01,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:04,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:06,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:08,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:11,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:13,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:15,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:18,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:20,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:23,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:25,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:27,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:30,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:32,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:35,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:37,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:39,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:42,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:45,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:47,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:49,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:52,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:54,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:56,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:49:59,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:01,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:03,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:06,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:08,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:10,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:13,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:15,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:17,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:20,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:22,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:24,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:27,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:29,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:32,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:34,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:36,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:39,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:41,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:44,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:46,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:49,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:51,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:53,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:56,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:50:58,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:51:01,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:51:03,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:51:05,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:51:08,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:51:10,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:51:12,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:51:15,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:51:17,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:51:19,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:51:22,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:51:24,@milagrosleivag,1958545,152679,1301,41455
2025-04-25 14:51:26,@milagrosleivag,1958545,152679,1301,41455
